id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58,:@computed_region_8hcu_yrd4,hour,st_cluster
14117180,JK157030,2026-02-20 23:40:00,080XX S DREXEL AVE,0460,BATTERY,SIMPLE,APARTMENT,False,False,0631,006,8,44,08B,1183632,1851799,2026,2026-02-28T15:41:06.000,41.748522062,-87.602678321,"{'latitude': '41.748522062', 'longitude': '-87.602678321', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,21546,40,247,35,61,20,235,10,23,1
14117158,JK157072,2026-02-20 23:30:00,102XX S ST LAWRENCE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,0511,005,9,49,08B,1182046,1837352,2026,2026-02-28T15:41:06.000,41.708914593,-87.608935443,"{'latitude': '41.708914593', 'longitude': '-87.608935443', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",30,21861,45,570,43,19,10,250,11,23,1
14117149,JK157064,2026-02-20 23:30:00,033XX S ABERDEEN ST,0560,ASSAULT,SIMPLE,RESIDENCE,True,True,0913,009,11,60,08A,1169524,1882776,2026,2026-02-28T15:41:06.000,41.833843634,-87.65347721,"{'latitude': '41.833843634', 'longitude': '-87.65347721', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",26,14920,58,171,48,43,23,162,7,23,-1
14117182,JK157054,2026-02-20 23:30:00,002XX W NORTH AVE,0460,BATTERY,SIMPLE,MOVIE HOUSE / THEATER,False,False,1814,018,2,7,08B,1174063,1910985,2026,2026-02-28T15:41:06.000,41.911151209,-87.63598179,"{'latitude': '41.911151209', 'longitude': '-87.63598179', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",51,21190,68,271,11,16,14,134,2,23,1
14117120,JK157038,2026-02-20 23:28:00,013XX N ELSTON AVE,0460,BATTERY,SIMPLE,BAR OR TAVERN,True,True,1433,014,27,24,08B,1167586,1909274,2026,2026-02-28T15:41:06.000,41.906598157,-87.659825297,"{'latitude': '41.906598157', 'longitude': '-87.659825297', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",16,22620,25,109,46,49,7,191,27,23,1
14117169,JK157070,2026-02-20 23:24:00,002XX W 79TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,0623,006,17,44,15,1176171,1852587,2026,2026-02-28T15:41:06.000,41.750855036,-87.629994265,"{'latitude': '41.750855036', 'longitude': '-87.629994265', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17,21554,40,1,31,59,20,228,17,23,1
14117099,JK157034,2026-02-20 23:20:00,072XX N CLARK ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,False,False,2423,024,49,1,07,1163243,1947985,2026,2026-02-28T15:41:06.000,42.012915394,-87.674685821,"{'latitude': '42.012915394', 'longitude': '-87.674685821', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,21853,10,489,5,9,11,37,49,23,1
14117252,JK157175,2026-02-20 23:20:00,047XX S WOODLAWN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,0222,002,4,39,08B,1185044,1873733,2026,2026-02-28T15:41:06.000,41.808677858,-87.596815929,"{'latitude': '41.808677858', 'longitude': '-87.596815929', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,21192,5,399,10,10,24,113,9,23,1
14117393,JK157431,2026-02-20 23:20:00,039XX N LONG AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,1634,016,30,15,14,1139645,1925889,2026,2026-02-28T15:41:06.000,41.952747605,-87.762058077,"{'latitude': '41.952747605', 'longitude': '-87.762058077', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",25,22618,15,231,19,21,12,26,30,23,-1
14117095,JK157032,2026-02-20 23:17:00,048XX W MADISON ST,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,PARKING LOT / GARAGE (NON RESIDENTIAL),True,False,1533,015,28,25,18,1144203,1899587,2026,2026-02-28T15:41:06.000,41.880487595,-87.745964635,"{'latitude': '41.880487595', 'longitude': '-87.745964635', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,22216,26,69,23,32,25,137,28,23,1
14117132,JK157042,2026-02-20 23:17:00,037XX N SOUTHPORT AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1922,019,44,6,08B,1166305,1924876,2026,2026-02-28T15:41:06.000,41.949438412,-87.664083563,"{'latitude': '41.949438412', 'longitude': '-87.664083563', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",38,21186,57,724,25,53,5,19,44,23,1
