date,primary_type,latitude,longitude,location_description,arrest,year
2026-01-24 15:00:00,theft,41.802730808,-87.63320859,COMMERCIAL / BUSINESS OFFICE,False,2026
2026-01-24 14:57:00,criminal damage,41.990409975,-87.704977986,SMALL RETAIL STORE,True,2026
2026-01-24 14:55:00,burglary,41.791160785,-87.579836586,STREET,False,2026
2026-01-24 14:50:00,assault,41.778883826,-87.664206366,STREET,True,2026
2026-01-24 14:47:00,narcotics,41.895457291,-87.716619992,STREET,True,2026
2026-01-24 14:43:00,battery,41.886288459,-87.769969735,APARTMENT,False,2026
2026-01-24 14:40:00,motor vehicle theft,41.907384912,-87.674342655,VEHICLE NON-COMMERCIAL,False,2026
2026-01-24 14:30:00,theft,41.931417509,-87.755078443,SMALL RETAIL STORE,False,2026
2026-01-24 14:30:00,burglary,41.70508545,-87.602738195,APARTMENT,False,2026
2026-01-24 14:30:00,motor vehicle theft,41.887268044,-87.653355439,STREET,False,2026
2026-01-24 14:30:00,battery,41.893113874,-87.751354558,APARTMENT,False,2026
2026-01-24 14:30:00,theft,41.911114038,-87.653117105,SMALL RETAIL STORE,False,2026
2026-01-24 14:25:00,criminal damage,41.895942308,-87.746866179,APARTMENT,False,2026
2026-01-24 14:20:00,theft,41.945444198,-87.648492003,OTHER (SPECIFY),False,2026
2026-01-24 14:15:00,battery,41.930546105,-87.752609371,RESIDENCE,False,2026
2026-01-24 14:13:00,assault,41.883006315,-87.764952877,APARTMENT,False,2026
2026-01-24 14:08:00,theft,41.924491602,-87.725945966,DEPARTMENT STORE,False,2026
2026-01-24 14:00:00,theft,41.776832515,-87.683577859,GROCERY FOOD STORE,False,2026
2026-01-24 14:00:00,theft,41.876891619,-87.741492127,APARTMENT,False,2026
2026-01-24 14:00:00,battery,41.89655687,-87.636801732,RESTAURANT,False,2026
2026-01-24 14:00:00,theft,41.77070351,-87.7249978,STREET,False,2026
2026-01-24 14:00:00,burglary,41.904409238,-87.667522209,RESTAURANT,False,2026
2026-01-24 14:00:00,deceptive practice,41.758146575,-87.687959292,RESIDENCE,False,2026
2026-01-24 13:52:00,weapons violation,41.857238956,-87.627181622,STREET,True,2026
2026-01-24 13:50:00,motor vehicle theft,41.884466819,-87.634266948,PARKING LOT / GARAGE (NON RESIDENTIAL),False,2026
2026-01-24 13:45:00,battery,41.907191533,-87.689597614,APARTMENT,False,2026
2026-01-24 13:45:00,theft,41.78794896,-87.630325986,GAS STATION,False,2026
2026-01-24 13:41:00,theft,41.939566852,-87.724623088,DRUG STORE,False,2026
2026-01-24 13:41:00,criminal trespass,41.766060565,-87.577183241,APARTMENT,False,2026
2026-01-24 13:40:00,robbery,41.871530533,-87.744926805,CTA TRAIN,False,2026
2026-01-24 13:36:00,assault,41.877161446,-87.676536946,APARTMENT,False,2026
2026-01-24 13:30:00,theft,41.69598756,-87.596649418,PARKING LOT / GARAGE (NON RESIDENTIAL),False,2026
2026-01-24 13:30:00,theft,41.925886611,-87.678679535,ATHLETIC CLUB,False,2026
2026-01-24 13:30:00,theft,41.869749161,-87.640107132,RESTAURANT,False,2026
2026-01-24 13:29:00,assault,41.931120002,-87.676784841,PARKING LOT / GARAGE (NON RESIDENTIAL),False,2026
2026-01-24 13:28:00,assault,41.752090412,-87.653779875,STREET,False,2026
2026-01-24 13:27:00,theft,41.940078259,-87.64237086,APARTMENT,False,2026
2026-01-24 13:23:00,criminal damage,41.750785006,-87.581661238,RESIDENCE,False,2026
2026-01-24 13:22:00,public peace violation,41.957968062,-87.748621405,STREET,False,2026
2026-01-24 13:22:00,motor vehicle theft,41.793481447,-87.680553032,APARTMENT,False,2026
2026-01-24 13:20:00,battery,41.98101273,-87.65511368,APARTMENT,False,2026
2026-01-24 13:15:00,battery,41.785709457,-87.722952947,SMALL RETAIL STORE,False,2026
2026-01-24 13:15:00,battery,41.882980737,-87.65693728,COMMERCIAL / BUSINESS OFFICE,False,2026
2026-01-24 13:10:00,battery,41.740744171,-87.646182842,RESIDENCE,True,2026
2026-01-24 13:05:00,criminal damage,41.901628243,-87.691919938,STREET,False,2026
2026-01-24 13:05:00,other offense,41.820248497,-87.616020877,APARTMENT,False,2026
2026-01-24 13:01:00,theft,41.882394062,-87.627844798,SMALL RETAIL STORE,False,2026
2026-01-24 13:00:00,battery,41.810278623,-87.632480821,RESIDENCE,False,2026
2026-01-24 13:00:00,battery,41.761546016,-87.581755579,RESIDENCE,False,2026
2026-01-24 13:00:00,motor vehicle theft,41.887232435,-87.655687853,STREET,False,2026
2026-01-24 13:00:00,criminal damage,41.915752584,-87.688449763,VEHICLE NON-COMMERCIAL,False,2026
2026-01-24 13:00:00,motor vehicle theft,41.730046419,-87.553675621,STREET,False,2026
2026-01-24 13:00:00,burglary,41.981321872,-87.787765092,STREET,False,2026
2026-01-24 12:50:00,battery,41.774742758,-87.703040153,APARTMENT,False,2026
2026-01-24 12:45:00,theft,41.766939632,-87.65004554,STREET,False,2026
2026-01-24 12:45:00,motor vehicle theft,41.688283987,-87.636204574,STREET,False,2026
2026-01-24 12:40:00,narcotics,41.691294791,-87.621032476,STREET,True,2026
2026-01-24 12:38:00,battery,41.871048929,-87.697310873,STREET,False,2026
2026-01-24 12:36:00,theft,41.910723622,-87.67800053,SMALL RETAIL STORE,False,2026
2026-01-24 12:30:00,theft,41.769860279,-87.662742186,RESIDENCE,False,2026
2026-01-24 12:30:00,motor vehicle theft,41.885598824,-87.651382697,STREET,False,2026
